                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        0                       48  0.6114149619351993E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.5348968389214141E-001 -0.6380462438783966E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5384676004846130E-001 -0.6366623903918333E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5419984125808142E-001 -0.6352023074776624E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5492265167716751E-001 -0.6319250036286890E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5562969112029594E-001 -0.6283542596931652E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5632188995026521E-001 -0.6245192262080621E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5666268903915870E-001 -0.6225094453867028E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5700009010636534E-001 -0.6204388411359306E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5768865975845085E-001 -0.6159619334847604E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5836382968311050E-001 -0.6112462531092165E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5902631770056270E-001 -0.6063072284132945E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.5967678278440073E-001 -0.6011590547353973E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6000778443513680E-001 -0.5984262688076331E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6033582793809117E-001 -0.5956430308951537E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6098334202647220E-001 -0.5899315983071602E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6161988710430088E-001 -0.5840370305839482E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6224598697523141E-001 -0.5779706585814841E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6287925462260903E-001 -0.5715662570108012E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6350248599767880E-001 -0.5650020237392421E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6411613590364101E-001 -0.5582878399117558E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6472062767752458E-001 -0.5514329198869131E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6533114106871742E-001 -0.5442695678006553E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6593284419764232E-001 -0.5369760758470803E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6623050712238210E-001 -0.5332831083998372E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6652610465048181E-001 -0.5295606166812000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6711127584778691E-001 -0.5220307513224478E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6770152713425644E-001 -0.5142214579700374E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6828398544467695E-001 -0.5063073584233855E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6885895699373305E-001 -0.4982952850588650E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6942672971075634E-001 -0.4901916976798477E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.6999879900706668E-001 -0.4818369738474351E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7056392995511224E-001 -0.4733995233566588E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7112237833994611E-001 -0.4648851711611818E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7167936628085757E-001 -0.4562212165829443E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7223003029074895E-001 -0.4474899697806133E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7250550789435151E-001 -0.4430612001846836E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7277945997803240E-001 -0.4386172412393538E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7332289587997956E-001 -0.4296861598902824E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7386053996181634E-001 -0.4207015164658953E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7440126130489098E-001 -0.4115193814908060E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7493639344981572E-001 -0.4022911068418914E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7546612024629934E-001 -0.3930210053903515E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7599061652576694E-001 -0.3837131995168941E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7625480382850378E-001 -0.3789771833795862E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7651770838896585E-001 -0.3742329762351490E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7703975290228909E-001 -0.3647218863816054E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7755690553221463E-001 -0.3551837821434802E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7806931679698080E-001 -0.3456223577014186E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7858391238760531E-001 -0.3359125516293157E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7909392879210891E-001 -0.3261860952025704E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7959950236422209E-001 -0.3164464793403924E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7985066300008360E-001 -0.3115728155855758E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8010076137267610E-001 -0.3066971158771104E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8060384686737350E-001 -0.2968226480784015E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8110276601679277E-001 -0.2869447355755516E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8159763735966687E-001 -0.2770665208809881E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8208857450050980E-001 -0.2671910339723848E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8233527856028587E-001 -0.2622009957586046E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8258101888527629E-001 -0.2572127681840751E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8306966347732864E-001 -0.2472431338836864E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8355460998199681E-001 -0.2372849735766593E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8403595802741481E-001 -0.2273409897800391E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8451853810723640E-001 -0.2173151567126079E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8499764036115064E-001 -0.2073090301551195E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8547335607817852E-001 -0.1973251150387533E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8594577314479761E-001 -0.1873658416022717E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8618287797692596E-001 -0.1823515871485598E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8665467770413919E-001 -0.1723448290146326E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8724095680098452E-001 -0.1598600608513125E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8759079488451400E-001 -0.1523864080843454E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8793894134075479E-001 -0.1449328743659022E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8828542771339894E-001 -0.1375003968711469E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8874734824059803E-001 -0.1275716704304709E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8897723217295266E-001 -0.1226228207264462E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8920641082869865E-001 -0.1176846577667834E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8955053571623788E-001 -0.1102621893199606E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.8989310656938947E-001 -0.1028654872581527E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9023415147754107E-001 -0.9549542478098330E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9057369783430666E-001 -0.8815285648928284E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9102522805407219E-001 -0.7838346248387502E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9147419094021028E-001 -0.6866663705386115E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9192355586586708E-001 -0.5894133060421618E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9237043990839973E-001 -0.4927310899998819E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9281490051770847E-001 -0.3966381971812472E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9325699338213435E-001 -0.3011527034604919E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9369933241007722E-001 -0.2057406185523820E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9413938391648062E-001 -0.1109787331208338E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9457719962797023E-001 -0.1688440822998786E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9501282975757115E-001  0.7652521451934407E-002  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9523096379031870E-001  0.1232081601779388E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9544856414442876E-001  0.1697117051348433E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9588218908245112E-001  0.2621723851071468E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9631374980490372E-001  0.3538898993034738E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9674329172290495E-001  0.4448473699412535E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9717281238311899E-001  0.5354392575792079E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.9760038377309375E-001  0.6252305721363621E-001  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
